scenario,signal,seed,auc,spearman,det_lag,miss_rate,regime_gap
ar_noise_switch,ewacf_mean,0,0.9647741990974035,0.8018769312658062,21.5,0.14285714285714285,0.32465862101878207
ar_noise_switch,ewacf_max,0,0.9762479003501102,0.8216725575089142,3.0,0.0,0.4468723079088069
ar_noise_switch,mi_knn,0,0.8735125985125984,0.6463716677199774,27.0,0.0,0.389351133231116
ar_noise_switch,ks_shift,0,0.29878638648585454,-0.34856505444184255,30.0,0.5714285714285714,-0.08594906866183463
ar_noise_switch,ewacf_mean,1,0.9637039082874529,0.8023051492581396,25.5,0.14285714285714285,0.32625393503381206
ar_noise_switch,ewacf_max,1,0.9681925931292058,0.8100715167559583,16.0,0.0,0.4367822420465284
ar_noise_switch,mi_knn,1,0.8453982704909229,0.5953163504265788,36.0,0.0,0.36914513853490366
ar_noise_switch,ks_shift,1,0.3887103310420886,-0.19120723139178816,27.5,0.14285714285714285,-0.028945821409670086
ar_noise_switch,ewacf_mean,2,0.9594631783311028,0.7953099607972607,24.0,0.0,0.3382406751502197
ar_noise_switch,ewacf_max,2,0.9638597880107314,0.8029202931465123,3.0,0.0,0.4552513925413937
ar_noise_switch,mi_knn,2,0.8913516883116882,0.6778596897244572,23.0,0.0,0.42240029102563065
ar_noise_switch,ks_shift,2,0.2504452167550759,-0.43197949554548454,25.5,0.42857142857142855,-0.1027355405158222
ar_noise_switch,ewacf_mean,3,0.9686986075399437,0.8113792558107872,15.5,0.14285714285714285,0.3695051028727304
ar_noise_switch,ewacf_max,3,0.9806339076599752,0.8320408383507453,21.0,0.0,0.4893658404770571
ar_noise_switch,mi_knn,3,0.8588836252531491,0.6215364517184855,36.0,0.0,0.37913224568239623
ar_noise_switch,ks_shift,3,0.30474182940620426,-0.33796177884712103,38.0,0.42857142857142855,-0.0660716423800308
ar_noise_switch,ewacf_mean,4,0.9699730659690453,0.8112984140945774,17.0,0.0,0.3755731310636399
ar_noise_switch,ewacf_max,4,0.977502920443407,0.8242969440865389,3.0,0.0,0.4833934011573774
ar_noise_switch,mi_knn,4,0.8567136530716449,0.6174714735935657,29.0,0.0,0.39786702533205404
ar_noise_switch,ks_shift,4,0.3938595545394483,-0.18387479592718678,39.0,0.5714285714285714,-0.03889770872300591
phi_switch,ewacf_mean,0,0.9582551656446684,0.7906296146447298,26.5,0.14285714285714285,0.3062990491498743
phi_switch,ewacf_max,0,0.972779177544371,0.8156879551229155,2.0,0.0,0.41172534316778786
phi_switch,mi_knn,0,0.8570651570651571,0.6179093507419078,28.0,0.0,0.37512569623285286
phi_switch,ks_shift,0,0.3392155716623802,-0.27853260976470307,37.0,0.5714285714285714,-0.07319616553659111
phi_switch,ewacf_mean,1,0.95451600180302,0.7864081414166688,25.5,0.14285714285714285,0.3047672968223825
phi_switch,ewacf_max,1,0.9607485954151777,0.7971918373090293,22.0,0.0,0.4003546341694514
