dataset,architecture,window_size,filter,train_mse,train_std,val_mse,val_std
aqua_alta,lstm_vanilla_windowed,1,ewma,0.0007749421573211419,5.769209066530848e-05,0.0011595896141748132,0.00010844945845691251
aqua_alta,lstm_vanilla_windowed,2,ewma,0.0007346754229452514,7.863134664437962e-05,0.0013780124612835232,0.00013332687796239982
aqua_alta,lstm_vanilla_windowed,4,ewma,0.0006688005772507589,2.956275932078035e-05,0.0011114364988453586,6.54913441037285e-05
aqua_alta,lstm_vanilla_windowed,8,ewma,0.0006498875536426877,3.7841584955600836e-05,0.0010313517876060728,3.219723220692993e-05
aqua_alta,lstm_vanilla_windowed,16,ewma,0.0007469346900000587,4.116450664818296e-05,0.0019065125937643423,0.00024367465415951577
aqua_alta,lstm_vanilla_windowed,32,ewma,0.0007712997417228981,7.457302802019567e-05,0.002086163909465174,0.00012118751096081157
aqua_alta,lstm_vanilla_windowed,64,ewma,0.0009616745893349016,0.0002668667620882495,0.021197657749320014,0.0030103806780157386
aqua_alta,lstm_vanilla_windowed,128,ewma,0.001427107049791403,0.00040515349274228274,0.038727591587435786,0.004894622809957415
aqua_alta,lstm_vanilla_stateless_windowed,1,ewma,0.0042079971563664395,3.071174465053563e-05,0.005677701113804981,4.74938481438297e-05
aqua_alta,lstm_vanilla_stateless_windowed,2,ewma,0.001246352997457535,3.174787960840203e-05,0.0014602919817393153,7.825035721716796e-05
aqua_alta,lstm_vanilla_stateless_windowed,4,ewma,0.000902650554785794,3.718716461565668e-05,0.001095059016965331,6.426556763798267e-05
aqua_alta,lstm_vanilla_stateless_windowed,8,ewma,0.0008467951508843297,4.1949844552245054e-05,0.0010473619052480104,0.0001310847137893952
aqua_alta,lstm_vanilla_stateless_windowed,16,ewma,0.0007635951479433329,3.209968632353082e-05,0.0011205383751298902,8.216358695106415e-05
aqua_alta,lstm_vanilla_stateless_windowed,32,ewma,0.0007388730627711311,3.6762299209813296e-05,0.001169178299241601,9.784602731969262e-05
aqua_alta,lstm_vanilla_stateless_windowed,64,ewma,0.000709628793995535,3.3998943126542435e-05,0.0011493511201659124,0.00010000440257718272
aqua_alta,lstm_vanilla_stateless_windowed,128,ewma,0.0007174456890009824,3.848455829429587e-05,0.001210288358592029,0.00016545465438858574
lbl_tcp_3,lstm_vanilla_windowed,1,ewma,0.24467622215923843,0.014922280439218439,0.3094079747062991,0.009944167407472058
lbl_tcp_3,lstm_vanilla_windowed,2,ewma,0.21787466464462302,0.017217768528395353,0.328686977999821,0.005594887580896817
lbl_tcp_3,lstm_vanilla_windowed,4,ewma,0.15846108938847409,0.01683233748512983,0.3804522910239807,0.011397940416968438
lbl_tcp_3,lstm_vanilla_windowed,8,ewma,0.09568445450683724,0.012493050696670416,0.4609915139124401,0.014310989267753288
lbl_tcp_3,lstm_vanilla_windowed,16,ewma,0.039107547252738704,0.007741215018817471,0.4175024882256801,0.006870228323997979
lbl_tcp_3,lstm_vanilla_windowed,32,ewma,0.0168034924755725,0.005408344209663509,0.5167929364204451,0.009172184450465864
lbl_tcp_3,lstm_vanilla_windowed,64,ewma,0.009477399248952405,0.004156027925212305,0.45841848237778193,0.00676752063090737
lbl_tcp_3,lstm_vanilla_windowed,128,ewma,0.007690817248905762,0.0021914294474136508,0.47232727631019733,0.011652133281535353
lbl_tcp_3,lstm_vanilla_stateless_windowed,1,ewma,0.43777571441123436,0.00019105441477314776,0.29437715639457435,0.0004782218583884274
lbl_tcp_3,lstm_vanilla_stateless_windowed,2,ewma,0.42792101425515494,0.0002878449508913102,0.2985485294245786,0.0010534362436575432
lbl_tcp_3,lstm_vanilla_stateless_windowed,4,ewma,0.41014777008906206,0.0012977009326124369,0.28847833110563587,0.0014528312983628638
lbl_tcp_3,lstm_vanilla_stateless_windowed,8,ewma,0.3725139131038642,0.004293334075006544,0.27356245588360373,0.0031475495351678743
lbl_tcp_3,lstm_vanilla_stateless_windowed,16,ewma,0.3492543960473549,0.006743590532492974,0.2822943188875069,0.003912170575756182
lbl_tcp_3,lstm_vanilla_stateless_windowed,32,ewma,0.31961359990546767,0.009700149363852814,0.2761600065425347,0.005486029889033068
lbl_tcp_3,lstm_vanilla_stateless_windowed,64,ewma,0.33697754694994336,0.00538155358862052,0.2934004466301609,0.007169486107809468
lbl_tcp_3,lstm_vanilla_stateless_windowed,128,ewma,0.3202811724031881,0.00822232364481494,0.29735642167510346,0.005228893866956123
mackey_glass,lstm_vanilla_windowed,1,ewma,0.00019199950867719882,0.00011326840121939928,0.010571225224932776,0.000579990461188947
mackey_glass,lstm_vanilla_windowed,2,ewma,0.00010993370105526182,6.622465266511555e-05,0.011977207578706945,0.0002614953578665199
mackey_glass,lstm_vanilla_windowed,4,ewma,0.00016530744698710763,6.726593616149365e-05,0.007735204528813308,0.000391743813939105
mackey_glass,lstm_vanilla_windowed,8,ewma,0.0002052341566606418,0.00012277754104318038,0.0014964768154875898,5.9073395155044714e-05
mackey_glass,lstm_vanilla_windowed,16,ewma,0.00015595873327594538,5.247830505395665e-05,0.0016994147049747305,0.0001396917620142398
mackey_glass,lstm_vanilla_windowed,32,ewma,0.00011535201931315493,0.00010707499605381534,0.0010274196852655538,0.00012157471615397464
mackey_glass,lstm_vanilla_windowed,64,ewma,0.0005441712635290089,0.0003574769052478585,0.001098350477350553,0.0005227502362881601
mackey_glass,lstm_vanilla_windowed,128,ewma,0.0009557229651015987,0.0005376897302057858,0.000724256271370281,0.00043185007809904585
mackey_glass,lstm_vanilla_stateless_windowed,1,ewma,0.021778776735696257,0.0001719208138981232,0.021473845359789398,0.00016402054994102435
mackey_glass,lstm_vanilla_stateless_windowed,2,ewma,0.03399918126169344,0.003974476883948005,0.03350057124342198,0.0039148173528535555
mackey_glass,lstm_vanilla_stateless_windowed,4,ewma,0.005157163632712944,0.00018629731543314337,0.004651609908098946,0.00020050294934102932
mackey_glass,lstm_vanilla_stateless_windowed,8,ewma,0.003580285113604209,0.00020277059285869024,0.003571861295831427,0.00019003290328741763
mackey_glass,lstm_vanilla_stateless_windowed,16,ewma,0.0012291458181320116,0.00015420460010267598,0.001143690264925404,0.00022207601718395292
mackey_glass,lstm_vanilla_stateless_windowed,32,ewma,0.00034377805813469475,8.064857161649934e-05,0.0003701839736593871,7.903503237287304e-05
mackey_glass,lstm_vanilla_stateless_windowed,64,ewma,0.00050596030887727,0.00013749527055520135,0.0007024206400162165,0.00019026182430999808
mackey_glass,lstm_vanilla_stateless_windowed,128,ewma,0.0005464334403200447,0.00012952962104347305,0.0006661349785211809,0.00017749950244139694
ethernet_traffic,lstm_vanilla_windowed,1,ewma,0.2841568918572511,0.020809744783698413,0.753472701537972,0.028608032730289494
ethernet_traffic,lstm_vanilla_windowed,2,ewma,0.2255888201277981,0.018381291847274234,0.5698669230929314,0.02261248921565316
ethernet_traffic,lstm_vanilla_windowed,4,ewma,0.22902071430357654,0.03404102567478672,0.7503853485409501,0.02094157882845772
ethernet_traffic,lstm_vanilla_windowed,8,ewma,0.14952254510861518,0.018558942353911766,0.6884460893379056,0.016509809732099454
ethernet_traffic,lstm_vanilla_windowed,16,ewma,0.08885556523882265,0.01636087491138449,0.7267631721342537,0.03100562611517646
ethernet_traffic,lstm_vanilla_windowed,32,ewma,0.03126938346827659,0.005702907860164965,0.5853447182839765,0.014450003511479305
ethernet_traffic,lstm_vanilla_windowed,64,ewma,0.006426436560002041,0.00142972939619066,0.45995330602307,0.008658471063929385
ethernet_traffic,lstm_vanilla_windowed,128,ewma,0.003325667909393971,0.001968804311352622,0.3127171183025406,0.0051716335080565995
ethernet_traffic,lstm_vanilla_stateless_windowed,1,ewma,0.8606301440937038,8.250534999580892e-05,0.5863827152245996,0.0006555966180301296
ethernet_traffic,lstm_vanilla_stateless_windowed,2,ewma,0.7649608735675768,0.0023264159100947436,0.5571058385787825,0.0017919835791238875
ethernet_traffic,lstm_vanilla_stateless_windowed,4,ewma,0.728093297774853,0.005500657665063839,0.544759794469196,0.0027167343451600153
ethernet_traffic,lstm_vanilla_stateless_windowed,8,ewma,0.5899679833854845,0.012264316721375892,0.5401723228307773,0.006319661843855172
ethernet_traffic,lstm_vanilla_stateless_windowed,16,ewma,0.4351664544967232,0.017997892240240093,0.5901669230931337,0.01248351668210771
ethernet_traffic,lstm_vanilla_stateless_windowed,32,ewma,0.412800401493541,0.01475003778283436,0.6087558360104133,0.01760947557105611
ethernet_traffic,lstm_vanilla_stateless_windowed,64,ewma,0.6566442771583887,0.13290011088362444,0.4109056497298566,0.026751278854424344
ethernet_traffic,lstm_vanilla_stateless_windowed,128,ewma,0.4499625119412563,0.017577520426320353,0.3719457467830027,0.021189128057611067
total_sunspots,lstm_vanilla_windowed,1,ewma,0.0006704389983584453,2.6907829013178955e-05,0.0010164235429658643,0.00014067445527423848
total_sunspots,lstm_vanilla_windowed,2,ewma,0.0007237969485718518,1.7996278714294355e-05,0.0011989549687874395,0.00010329085925509116
total_sunspots,lstm_vanilla_windowed,4,ewma,0.0007324073112523536,7.701370154779207e-05,0.0009376868934249956,0.00021171293595578268
total_sunspots,lstm_vanilla_windowed,8,ewma,0.0007410027721796959,0.0002965368815161288,0.00118988298231719,0.00010513045388281427
total_sunspots,lstm_vanilla_windowed,16,ewma,0.0008804207770168426,0.0001307770408913012,0.0034827850877380386,0.0008019622384256134
total_sunspots,lstm_vanilla_windowed,32,ewma,0.001955651390946717,0.0013281346626837873,0.006891592975413709,0.0021991312185056402
total_sunspots,lstm_vanilla_windowed,64,ewma,0.001208106030923697,0.0017048828675144709,0.008428047437449146,0.0036656665891272996
total_sunspots,lstm_vanilla_windowed,128,ewma,0.00411237178694556,0.0014830332841158033,0.08202168662856543,0.021139491520079833
total_sunspots,lstm_vanilla_stateless_windowed,1,ewma,0.004609146352204156,8.511224338681475e-05,0.009723381796723257,0.00017414538601551633
total_sunspots,lstm_vanilla_stateless_windowed,2,ewma,0.009163282731178016,0.000201883101685828,0.015878390257545335,0.0005658856832518235
total_sunspots,lstm_vanilla_stateless_windowed,4,ewma,0.003483596111882259,0.00014000147817935048,0.004361194454238515,0.0003052755411081644
total_sunspots,lstm_vanilla_stateless_windowed,8,ewma,0.0038529388810708194,0.0001895988808748891,0.004929217828298569,0.0005238102499766151
total_sunspots,lstm_vanilla_stateless_windowed,16,ewma,0.0033646438330395636,0.00024649416645438683,0.005284753043391106,0.0005003740756748799
total_sunspots,lstm_vanilla_stateless_windowed,32,ewma,0.003940807067884685,0.00019232128328612426,0.006658097177437497,0.0005257311690658781
total_sunspots,lstm_vanilla_stateless_windowed,64,ewma,0.0041959101345759395,0.00022151016566334452,0.007331858799009901,0.00047687317630424713
total_sunspots,lstm_vanilla_stateless_windowed,128,ewma,0.004267166861726587,0.00023804120238610574,0.00695629673958464,0.0005269224413015104
etth1,lstm_vanilla_windowed,1,ewma,0.013227667915306236,0.0003029310921727089,0.006542981815145241,0.0006732288169263419
etth1,lstm_vanilla_windowed,2,ewma,0.013046261359479614,0.0005736832227458819,0.0069816393489381,0.0009357214187976896
etth1,lstm_vanilla_windowed,4,ewma,0.012149246360746135,0.00039548123011250884,0.006223448409174206,0.0004012110398659838
etth1,lstm_vanilla_windowed,8,ewma,0.011635686091517784,0.00037193919055580904,0.00610844728565146,0.0002455167036618463
etth1,lstm_vanilla_windowed,16,ewma,0.010861658959505003,0.0005790973542576599,0.006193764638685164,0.00021223355922489636
etth1,lstm_vanilla_windowed,32,ewma,0.011984481304418279,0.0010603458643416743,0.09797775209978014,0.02666523217072056
etth1,lstm_vanilla_windowed,64,ewma,0.02968647420964588,0.005976333352398361,0.030164083167919933,0.017822349070266606
etth1,lstm_vanilla_windowed,128,ewma,0.05785518760191923,0.013679104905840053,0.094817144507945,0.03178155179805488
etth1,lstm_vanilla_stateless_windowed,1,ewma,0.014823404277888598,2.863190343061926e-05,0.005858375453574499,0.0003659803049449115
etth1,lstm_vanilla_stateless_windowed,2,ewma,0.014826833247770822,5.039584502875961e-05,0.005518805962922618,0.0005886337055105827
etth1,lstm_vanilla_stateless_windowed,4,ewma,0.014869991061249418,5.770505012414827e-05,0.005644942642350186,0.0006356384219758426
etth1,lstm_vanilla_stateless_windowed,8,ewma,0.014721338280712199,4.906141908553603e-05,0.005322196072675924,0.00048502092728217917
etth1,lstm_vanilla_stateless_windowed,16,ewma,0.014238962736023408,0.00011282230675236161,0.005643023216663255,0.0005276659635264871
etth1,lstm_vanilla_stateless_windowed,32,ewma,0.013603065778141441,8.70981329139015e-05,0.005492963808451098,0.0006088673026295687
etth1,lstm_vanilla_stateless_windowed,64,ewma,0.013393365067373503,8.570657766361158e-05,0.005818583261963291,0.0005526465928323164
etth1,lstm_vanilla_stateless_windowed,128,ewma,0.012993277939353263,9.809705365526287e-05,0.005884524689360541,0.0008369245246827882
exchange_rate,lstm_vanilla_windowed,1,ewma,0.004997820680013576,0.002462135893217077,0.002115112737831805,0.0005024688483960733
exchange_rate,lstm_vanilla_windowed,2,ewma,0.004458316940933826,7.266412384963322e-05,0.0026147855501880185,3.6670492679846525e-05
exchange_rate,lstm_vanilla_windowed,4,ewma,0.004443202296468885,8.417609772974072e-05,0.001801968306147135,1.2512991742130946e-05
exchange_rate,lstm_vanilla_windowed,8,ewma,0.0048125177335754865,0.00025854223024538597,0.00197195484900346,0.00022370562052191213
exchange_rate,lstm_vanilla_windowed,16,ewma,0.004105931501409703,0.00016202705059321356,0.0019937617762916405,0.00013703791019003191
exchange_rate,lstm_vanilla_windowed,32,ewma,0.004045167237040392,0.0005324825896315433,0.0022571149842373454,0.00021538677590414603
exchange_rate,lstm_vanilla_windowed,64,ewma,0.004788796425881935,0.0009173857132056196,0.004676108911817749,0.0010394608396339015
exchange_rate,lstm_vanilla_windowed,128,ewma,0.006940002219448298,0.001311243229387451,0.005268058290026614,0.003184045793636997
exchange_rate,lstm_vanilla_stateless_windowed,1,ewma,0.004575585141974592,4.7243526421507624e-05,0.0018479637594558981,4.1183045156658484e-05
exchange_rate,lstm_vanilla_stateless_windowed,2,ewma,0.004996567436722887,0.00010856458264955255,0.0019383843564503636,4.7183215558429706e-05
exchange_rate,lstm_vanilla_stateless_windowed,4,ewma,0.004848959421123176,0.00012167390546087017,0.0019268366155772362,8.372374998976819e-05
exchange_rate,lstm_vanilla_stateless_windowed,8,ewma,0.004702299082330332,0.0001294339311581537,0.0019257948930763902,0.00015492433902677174
exchange_rate,lstm_vanilla_stateless_windowed,16,ewma,0.0046742992479845095,0.00012095646223607716,0.0019690878057879754,0.0002558380758430558
exchange_rate,lstm_vanilla_stateless_windowed,32,ewma,0.00464864690019396,0.00017733496329722158,0.0019453642123624544,0.0003108574820212887
exchange_rate,lstm_vanilla_stateless_windowed,64,ewma,0.004683659642193744,0.0001457204091951106,0.0019778663068687682,0.00027780038740677173
exchange_rate,lstm_vanilla_stateless_windowed,128,ewma,0.004737558788046617,0.0001457932769621818,0.001959746402950591,0.00024557491528618997
