dataset,architecture,window_size,best_val_loss
mackey_glass,lstm_vanilla_stateless_windowed,16,0.0009579302277415991
mackey_glass,lstm_vanilla_stateless_windowed,32,0.0003213068703189492
mackey_glass,lstm_vanilla_stateless_windowed,64,0.0006002872250974178
mackey_glass,lstm_vanilla_stateless_windowed,128,0.0005337533075362444
mackey_glass,lstm_vanilla_windowed,1,0.006055668705910747
mackey_glass,lstm_vanilla_windowed,2,0.006121738782247244
mackey_glass,lstm_vanilla_windowed,4,0.00584512521272824
mackey_glass,lstm_vanilla_windowed,8,0.0013826597750295278
mackey_glass,lstm_vanilla_windowed,16,0.0013605043296136701
mackey_glass,lstm_vanilla_windowed,32,0.0007912090288025969
mackey_glass,lstm_vanilla_windowed,64,0.0005936279069520373
mackey_glass,lstm_vanilla_windowed,128,0.0002926298676416162
mackey_glass,lstm_vanilla_windowed_no_recurrence,1,0.021053423337336327
mackey_glass,lstm_vanilla_windowed_no_recurrence,2,0.0006764868670932443
mackey_glass,lstm_vanilla_windowed_no_recurrence,4,0.0007321122273287828
mackey_glass,lstm_vanilla_windowed_no_recurrence,8,0.0005142730809780398
mackey_glass,lstm_vanilla_windowed_no_recurrence,16,0.00025969758353053566
mackey_glass,lstm_vanilla_windowed_no_recurrence,32,7.388428680572378e-05
mackey_glass,lstm_vanilla_windowed_no_recurrence,64,8.150258001533153e-05
mackey_glass,lstm_vanilla_windowed_no_recurrence,128,0.0001524536584203611
total_sunspots,lstm_vanilla_stateless_windowed,1,0.008345311507582664
total_sunspots,lstm_vanilla_stateless_windowed,2,0.024379948154091835
total_sunspots,lstm_vanilla_stateless_windowed,4,0.0040361834689974785
total_sunspots,lstm_vanilla_stateless_windowed,8,0.004434290807694197
total_sunspots,lstm_vanilla_stateless_windowed,16,0.004654028918594122
total_sunspots,lstm_vanilla_stateless_windowed,32,0.005951723549515009
total_sunspots,lstm_vanilla_stateless_windowed,64,0.006792628671973944
total_sunspots,lstm_vanilla_stateless_windowed,128,0.008561734110116959
total_sunspots,lstm_vanilla_windowed,1,0.0007838416794613529
total_sunspots,lstm_vanilla_windowed,2,0.0009857752746102787
total_sunspots,lstm_vanilla_windowed,4,0.0008239319946373195
total_sunspots,lstm_vanilla_windowed,8,0.0014273575059536288
total_sunspots,lstm_vanilla_windowed,16,0.002515579790061847
total_sunspots,lstm_vanilla_windowed,32,0.010598529315483506
total_sunspots,lstm_vanilla_windowed,64,0.011800187854978146
total_sunspots,lstm_vanilla_windowed,128,0.06466892976970046
total_sunspots,lstm_vanilla_windowed_no_recurrence,1,0.009826411750832303
total_sunspots,lstm_vanilla_windowed_no_recurrence,2,0.0012024164898321033
total_sunspots,lstm_vanilla_windowed_no_recurrence,4,0.0023018519267058246
total_sunspots,lstm_vanilla_windowed_no_recurrence,8,0.003669719608140641
total_sunspots,lstm_vanilla_windowed_no_recurrence,16,0.009602519748887345
total_sunspots,lstm_vanilla_windowed_no_recurrence,32,0.06318833187262538
total_sunspots,lstm_vanilla_windowed_no_recurrence,64,0.09402968492746078
total_sunspots,lstm_vanilla_windowed_no_recurrence,128,0.06671348856989204
